# Exact Riemann solution for problem:	Toro-2
# Discretization:	zonal
# Domain bounds:	0.00000e+00	1.00000e+00
# Iterface position:	5.00000e-01
# Gamma:	1.40000e+00
# Left  state [dens,velx,pres]:	1.00000e+00	-2.00000e+00	4.00000e-01
# Right state [dens,velx,pres]:	1.00000e+00	2.00000e+00	4.00000e-01
# Time:	1.50000e-01
                x	    dens [$\rho$]	      mom [$\mu$]	   e [$\epsilon$]	       pres [$p$]	             eint	       velx [$v$]	             cspd
  2.450000000e-01	  2.646134125e-01	 -2.980580170e-01	  3.233384284e-01	  6.218943144e-02	  5.875498794e-01	 -1.126390436e+00	  5.736095645e-01
  2.550000000e-01	  2.399587526e-01	 -2.569562021e-01	  2.731574597e-01	  5.423145111e-02	  5.650080536e-01	 -1.070834880e+00	  5.624984534e-01
  2.650000000e-01	  2.171770317e-01	 -2.204953501e-01	  2.298391473e-01	  4.716278490e-02	  5.429071450e-01	 -1.015279324e+00	  5.513873422e-01
  2.750000000e-01	  1.961594525e-01	 -1.882588891e-01	  1.925858215e-01	  4.089902249e-02	  5.212471534e-01	 -9.597237689e-01	  5.402762311e-01
  2.850000000e-01	  1.768015149e-01	 -1.598583098e-01	  1.606751231e-01	  3.536228875e-02	  5.000280790e-01	 -9.041682133e-01	  5.291651200e-01
  2.950000000e-01	  1.590029297e-01	 -1.349318988e-01	  1.334546002e-01	  3.048085664e-02	  4.792499217e-01	 -8.486126578e-01	  5.180540089e-01
  3.050000000e-01	  1.426675317e-01	 -1.131434993e-01	  1.103365674e-01	  2.618877582e-02	  4.589126815e-01	 -7.930571022e-01	  5.069428978e-01
  3.150000000e-01	  1.277031934e-01	 -9.418130262e-02	  9.079321907e-02	  2.242551636e-02	  4.390163584e-01	 -7.375015466e-01	  4.958317867e-01
  3.250000000e-01	  1.140217380e-01	 -7.775666710e-02	  7.435199267e-02	  1.913562759e-02	  4.195609524e-01	 -6.819459911e-01	  4.847206756e-01
  3.350000000e-01	  1.015388532e-01	 -6.360296647e-02	  6.059117348e-02	  1.626841142e-02	  4.005464635e-01	 -6.263904355e-01	  4.736095645e-01
  3.450000000e-01	  9.017400444e-02	 -5.147446700e-02	  4.913573583e-02	  1.377761009e-02	  3.819728917e-01	 -5.708348800e-01	  4.624984534e-01
  3.550000000e-01	  7.985034830e-02	 -4.114523353e-02	  3.965341372e-02	  1.162110786e-02	  3.638402370e-01	 -5.152793244e-01	  4.513873422e-01
  3.650000000e-01	  7.049464588e-02	 -3.240806429e-02	  3.185099462e-02	  9.760646356e-03	  3.461484995e-01	 -4.597237689e-01	  4.402762311e-01
  3.750000000e-01	  6.203717625e-02	 -2.507345468e-02	  2.547082997e-02	  8.161553312e-03	  3.288976790e-01	 -4.041682133e-01	  4.291651200e-01
  3.850000000e-01	  5.441164985e-02	 -1.896858987e-02	  2.028755604e-02	  6.792484309e-03	  3.120877756e-01	 -3.486126578e-01	  4.180540089e-01
  3.950000000e-01	  4.755512188e-02	 -1.393636621e-02	  1.610501862e-02	  5.625177229e-03	  2.957187894e-01	 -2.930571022e-01	  4.069428978e-01
  4.050000000e-01	  4.140790571e-02	 -9.834441649e-03	  1.275339531e-02	  4.634219105e-03	  2.797907203e-01	 -2.375015466e-01	  3.958317867e-01
  4.150000000e-01	  3.591348627e-02	 -6.534314853e-03	  1.008650877e-02	  3.796825028e-03	  2.643035682e-01	 -1.819459911e-01	  3.847206756e-01
  4.250000000e-01	  3.101843349e-02	 -3.920433318e-03	  7.979324652e-03	  3.092628806e-03	  2.492573333e-01	 -1.263904355e-01	  3.736095645e-01
  4.350000000e-01	  2.667231565e-02	 -1.889330278e-03	  6.325627868e-03	  2.503485050e-03	  2.346520155e-01	 -7.083487998e-02	  3.624984534e-01
  4.450000000e-01	  2.282761285e-02	 -3.487905026e-04	  5.035870550e-03	  2.013282363e-03	  2.204876148e-01	 -1.527932443e-02	  3.513873422e-01
  4.550000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  4.650000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  4.750000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  4.850000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  4.950000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  5.050000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  5.150000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  5.250000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  5.350000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  5.450000000e-01	  2.185211821e-02	  0.000000000e+00	  4.734683550e-03	  1.893873420e-03	  2.166693181e-01	  0.000000000e+00	  3.483314774e-01
  5.550000000e-01	  2.282761285e-02	  3.487905026e-04	  5.035870550e-03	  2.013282363e-03	  2.204876148e-01	  1.527932443e-02	  3.513873422e-01
  5.650000000e-01	  2.667231565e-02	  1.889330278e-03	  6.325627868e-03	  2.503485050e-03	  2.346520155e-01	  7.083487998e-02	  3.624984534e-01
  5.750000000e-01	  3.101843349e-02	  3.920433318e-03	  7.979324652e-03	  3.092628806e-03	  2.492573333e-01	  1.263904355e-01	  3.736095645e-01
  5.850000000e-01	  3.591348627e-02	  6.534314853e-03	  1.008650877e-02	  3.796825028e-03	  2.643035682e-01	  1.819459911e-01	  3.847206756e-01
  5.950000000e-01	  4.140790571e-02	  9.834441649e-03	  1.275339531e-02	  4.634219105e-03	  2.797907203e-01	  2.375015466e-01	  3.958317867e-01
  6.050000000e-01	  4.755512188e-02	  1.393636621e-02	  1.610501862e-02	  5.625177229e-03	  2.957187894e-01	  2.930571022e-01	  4.069428978e-01
  6.150000000e-01	  5.441164985e-02	  1.896858987e-02	  2.028755604e-02	  6.792484309e-03	  3.120877756e-01	  3.486126578e-01	  4.180540089e-01
  6.250000000e-01	  6.203717625e-02	  2.507345468e-02	  2.547082997e-02	  8.161553312e-03	  3.288976790e-01	  4.041682133e-01	  4.291651200e-01
  6.350000000e-01	  7.049464588e-02	  3.240806429e-02	  3.185099462e-02	  9.760646356e-03	  3.461484995e-01	  4.597237689e-01	  4.402762311e-01
  6.450000000e-01	  7.985034830e-02	  4.114523353e-02	  3.965341372e-02	  1.162110786e-02	  3.638402370e-01	  5.152793244e-01	  4.513873422e-01
  6.550000000e-01	  9.017400444e-02	  5.147446700e-02	  4.913573583e-02	  1.377761009e-02	  3.819728917e-01	  5.708348800e-01	  4.624984534e-01
  6.650000000e-01	  1.015388532e-01	  6.360296647e-02	  6.059117348e-02	  1.626841142e-02	  4.005464635e-01	  6.263904355e-01	  4.736095645e-01
  6.750000000e-01	  1.140217380e-01	  7.775666710e-02	  7.435199267e-02	  1.913562759e-02	  4.195609524e-01	  6.819459911e-01	  4.847206756e-01
  6.850000000e-01	  1.277031934e-01	  9.418130262e-02	  9.079321907e-02	  2.242551636e-02	  4.390163584e-01	  7.375015466e-01	  4.958317867e-01
  6.950000000e-01	  1.426675317e-01	  1.131434993e-01	  1.103365674e-01	  2.618877582e-02	  4.589126815e-01	  7.930571022e-01	  5.069428978e-01
  7.050000000e-01	  1.590029297e-01	  1.349318988e-01	  1.334546002e-01	  3.048085664e-02	  4.792499217e-01	  8.486126578e-01	  5.180540089e-01
  7.150000000e-01	  1.768015149e-01	  1.598583098e-01	  1.606751231e-01	  3.536228875e-02	  5.000280790e-01	  9.041682133e-01	  5.291651200e-01
  7.250000000e-01	  1.961594525e-01	  1.882588891e-01	  1.925858215e-01	  4.089902249e-02	  5.212471534e-01	  9.597237689e-01	  5.402762311e-01
  7.350000000e-01	  2.171770317e-01	  2.204953501e-01	  2.298391473e-01	  4.716278490e-02	  5.429071450e-01	  1.015279324e+00	  5.513873422e-01
  7.450000000e-01	  2.399587526e-01	  2.569562021e-01	  2.731574597e-01	  5.423145111e-02	  5.650080536e-01	  1.070834880e+00	  5.624984534e-01
  7.550000000e-01	  2.646134125e-01	  2.980580170e-01	  3.233384284e-01	  6.218943144e-02	  5.875498794e-01	  1.126390436e+00	  5.736095645e-01
  7.650000000e-01	  2.912541926e-01	  3.442467253e-01	  3.812607044e-01	  7.112807438e-02	  6.105326222e-01	  1.181945991e+00	  5.847206756e-01
  7.750000000e-01	  3.199987446e-01	  3.959989414e-01	  4.478898657e-01	  8.114608578e-02	  6.339562822e-01	  1.237501547e+00	  5.958317867e-01
  7.850000000e-01	  3.509692775e-01	  4.538233170e-01	  5.242846433e-01	  9.234996469e-02	  6.578208593e-01	  1.293057102e+00	  6.069428978e-01
  7.950000000e-01	  3.842926438e-01	  5.182619238e-01	  6.116034350e-01	  1.048544559e-01	  6.821263534e-01	  1.348612658e+00	  6.180540089e-01
  8.050000000e-01	  4.201004264e-01	  5.898916652e-01	  7.111111127e-01	  1.187830200e-01	  7.068727647e-01	  1.404168213e+00	  6.291651200e-01
  8.150000000e-01	  4.585290251e-01	  6.693257166e-01	  8.241861296e-01	  1.342683203e-01	  7.320600931e-01	  1.459723769e+00	  6.402762311e-01
  8.250000000e-01	  4.997197430e-01	  7.572149946e-01	  9.523279346e-01	  1.514527288e-01	  7.576883386e-01	  1.515279324e+00	  6.513873422e-01
  8.350000000e-01	  5.438188737e-01	  8.542496552e-01	  1.097164699e+00	  1.704888486e-01	  7.837575012e-01	  1.570834880e+00	  6.624984534e-01
  8.450000000e-01	  5.909777871e-01	  9.611606206e-01	  1.260461362e+00	  1.915400568e-01	  8.102675810e-01	  1.626390436e+00	  6.736095645e-01
  8.550000000e-01	  6.413530166e-01	  1.078721135e+00	  1.444128005e+00	  2.147810642e-01	  8.372185778e-01	  1.681945991e+00	  6.847206756e-01
  8.650000000e-01	  6.951063454e-01	  1.207748350e+00	  1.650228552e+00	  2.403984956e-01	  8.646104917e-01	  1.737501547e+00	  6.958317867e-01
  8.750000000e-01	  7.524048932e-01	  1.349104937e+00	  1.880989818e+00	  2.685914892e-01	  8.924433228e-01	  1.793057102e+00	  7.069428978e-01
  8.850000000e-01	  8.134212027e-01	  1.503700731e+00	  2.138810890e+00	  2.995723149e-01	  9.207170709e-01	  1.848612658e+00	  7.180540089e-01
  8.950000000e-01	  8.783333264e-01	  1.672494401e+00	  2.426272873e+00	  3.335670140e-01	  9.494317362e-01	  1.904168213e+00	  7.291651200e-01
  9.050000000e-01	  9.473249130e-01	  1.856495149e+00	  2.746148981e+00	  3.708160585e-01	  9.785873185e-01	  1.959723769e+00	  7.402762311e-01
  9.150000000e-01	  1.000000000e+00	  2.000000000e+00	  3.000000000e+00	  4.000000000e-01	  1.000000000e+00	  2.000000000e+00	  7.483314774e-01
  9.250000000e-01	  1.000000000e+00	  2.000000000e+00	  3.000000000e+00	  4.000000000e-01	  1.000000000e+00	  2.000000000e+00	  7.483314774e-01
  9.350000000e-01	  1.000000000e+00	  2.000000000e+00	  3.000000000e+00	  4.000000000e-01	  1.000000000e+00	  2.000000000e+00	  7.483314774e-01
  9.450000000e-01	  1.000000000e+00	  2.000000000e+00	  3.000000000e+00	  4.000000000e-01	  1.000000000e+00	  2.000000000e+00	  7.483314774e-01
  9.550000000e-01	  1.000000000e+00	  2.000000000e+00	  3.000000000e+00	  4.000000000e-01	  1.000000000e+00	  2.000000000e+00	  7.483314774e-01
  9.650000000e-01	  1.000000000e+00	  2.000000000e+00	  3.000000000e+00	  4.000000000e-01	  1.000000000e+00	  2.000000000e+00	  7.483314774e-01
  9.750000000e-01	  1.000000000e+00	  2.000000000e+00	  3.000000000e+00	  4.000000000e-01	  1.000000000e+00	  2.000000000e+00	  7.483314774e-01
  9.850000000e-01	  1.000000000e+00	  2.000000000e+00	  3.000000000e+00	  4.000000000e-01	  1.000000000e+00	  2.000000000e+00	  7.483314774e-01
  9.950000000e-01	  1.000000000e+00	  2.000000000e+00	  3.000000000e+00	  4.000000000e-01	  1.000000000e+00	  2.000000000e+00	  7.483314774e-01
